Identifier,RIBO_GLY_1,RNA_GLY_1
NC_002516.2:1572552-1573523:+,61,64
NC_002516.2:1573551-1574024:+,126,20
NC_002516.2:1574026-1574478:+,13,12
NC_002516.2:1574475-1575242:+,16,16
NC_002516.2:1575290-1575559:+,24,11
NC_002516.2:1575559-1576335:+,9,9
NC_002516.2:1576338-1577474:+,12,10
NC_002516.2:1577547-1578806:+,31,18
NC_002516.2:1578839-1580182:+,26,5
NC_002516.2:1580321-1582444:+,41,156
NC_002516.2:1582528-1583817:+,194,216
NC_002516.2:1583956-1584798:+,147,110
NC_002516.2:1584795-1585538:+,138,84
NC_002516.2:1585640-1586014:+,133,62
NC_002516.2:1586034-1586822:+,122,110
NC_002516.2:1587023-1589284:+,264,161
NC_002516.2:1589338-1590444:+,98,60
NC_002516.2:1590533-1591273:+,40,35
NC_002516.2:1591286-1592176:+,31,26
NC_002516.2:1592271-1593059:+,43,81
NC_002516.2:1593151-1594041:+,65,30
NC_002516.2:1594087-1594566:+,216,80
NC_002516.2:1594597-1595004:+,40,23
NC_002516.2:1595032-1595718:-,5,6
NC_002516.2:1595827-1596798:+,11,10
NC_002516.2:1596889-1597305:+,2,0
NC_002516.2:1597365-1598087:+,3,5
NC_002516.2:1598221-1598958:+,9,4
NC_002516.2:1599024-1599320:-,10,6
NC_002516.2:1599428-1599982:-,7,5
NC_002516.2:1600083-1600418:-,12,5
NC_002516.2:1600415-1601893:-,28,20
NC_002516.2:1602179-1602880:+,20,33
NC_002516.2:1602877-1603548:+,18,27
NC_002516.2:1603671-1604429:+,38,39
NC_002516.2:1604426-1604602:+,7,6
NC_002516.2:1604599-1605087:+,65,10
NC_002516.2:1605088-1607061:+,126,43
NC_002516.2:1607065-1607607:+,38,14
NC_002516.2:1607604-1608071:+,15,3
NC_002516.2:1608068-1609291:+,37,23
NC_002516.2:1609318-1609734:+,16,9
NC_002516.2:1609738-1610544:-,14,3
NC_002516.2:1610745-1612112:+,6,1
NC_002516.2:1612126-1613226:+,7,1
NC_002516.2:1613234-1614649:-,10,4
NC_002516.2:1614670-1615908:-,5,0
NC_002516.2:1615895-1617085:-,7,3
NC_002516.2:1617489-1618265:-,4,3
NC_002516.2:1618612-1619847:+,4,0
NC_002516.2:1619907-1620263:+,2,2
NC_002516.2:1620345-1621343:-,178,88
NC_002516.2:1621472-1623127:-,38,11
NC_002516.2:1623251-1623877:-,3,0
NC_002516.2:1623864-1624715:-,3,7
NC_002516.2:1624781-1625695:-,0,0
NC_002516.2:1626062-1627495:-,4,8
NC_002516.2:1627497-1628762:-,6,0
NC_002516.2:1629059-1629949:-,2,1
NC_002516.2:1630024-1630806:-,2,0
NC_002516.2:1630902-1632677:-,7,2
NC_002516.2:1633006-1633437:+,4,2
NC_002516.2:1633842-1634492:-,22,27
NC_002516.2:1634728-1635723:+,57,62
NC_002516.2:1635908-1636237:+,3,7
NC_002516.2:1636329-1637696:-,20,7
NC_002516.2:1638379-1638639:-,15,4
NC_002516.2:1638652-1639794:-,243,57
NC_002516.2:1639791-1641500:-,98,55
NC_002516.2:1641497-1644025:-,10,2
NC_002516.2:1644207-1644725:-,0,0
NC_002516.2:1645211-1646488:-,18,10
NC_002516.2:1646537-1647046:-,16,4
NC_002516.2:1647101-1648099:-,15,5
NC_002516.2:1648117-1648632:-,9,1
NC_002516.2:1648629-1649555:-,41,6
NC_002516.2:1649928-1650308:+,17,4
NC_002516.2:1650549-1651898:-,8,2
NC_002516.2:1652273-1653052:+,40,29
NC_002516.2:1653106-1654410:-,10,6
NC_002516.2:1654480-1655319:-,7,13
NC_002516.2:1655346-1657745:-,13,9
NC_002516.2:1657738-1659192:-,9,1
NC_002516.2:1659413-1660546:-,7,5
NC_002516.2:1660727-1661386:+,21,30
NC_002516.2:1661412-1664900:+,162,137
NC_002516.2:1665065-1665934:+,170,117
NC_002516.2:1666025-1668409:+,100,55
NC_002516.2:1668455-1668832:+,50,14
NC_002516.2:1669086-1669952:-,0,3
NC_002516.2:1669989-1672034:+,132,68
NC_002516.2:1672080-1672406:+,281,46
NC_002516.2:1672485-1673081:+,33,13
NC_002516.2:1673204-1674352:+,22,14
NC_002516.2:1674365-1674904:-,4,4
NC_002516.2:1674978-1675865:-,3,3
NC_002516.2:1675862-1677445:-,8,7
NC_002516.2:1677559-1678407:+,11,6
NC_002516.2:1678261-1678590:-,1,4
NC_002516.2:1678584-1678952:-,7,1
NC_002516.2:1679361-1680197:-,5,14
NC_002516.2:1680437-1680985:-,21,24
NC_002516.2:1681071-1681805:-,231,260
NC_002516.2:1682051-1682518:+,55,8
NC_002516.2:1682567-1683949:-,6,237
NC_002516.2:1684077-1684760:-,5,11
NC_002516.2:1684753-1684962:-,6,9
NC_002516.2:1684941-1687376:-,24,36
NC_002516.2:1687373-1687912:-,11,24
NC_002516.2:1687924-1689339:-,65,124
NC_002516.2:1689557-1690513:-,239,109
NC_002516.2:1690510-1690695:-,276,98
NC_002516.2:1690701-1691312:-,294,145
NC_002516.2:1691327-1692754:-,348,135
NC_002516.2:1693119-1694045:-,7,84
NC_002516.2:1694042-1694227:-,2,35
NC_002516.2:1694233-1694841:-,2,71
NC_002516.2:1694852-1696279:-,6,82
NC_002516.2:1696467-1697099:+,4,3
NC_002516.2:1698382-1699947:-,69,73
NC_002516.2:1700320-1703052:-,243,80
NC_002516.2:1703379-1704437:+,39,11
NC_002516.2:1704522-1704761:+,10,3
NC_002516.2:1704793-1706103:-,4,3
NC_002516.2:1706172-1707536:-,1,2
NC_002516.2:1708004-1709401:-,3,2
NC_002516.2:1709412-1709765:-,0,0
NC_002516.2:1709821-1711191:-,3,5
NC_002516.2:1711569-1712450:+,11,12
NC_002516.2:1712519-1712698:-,124,21
NC_002516.2:1712908-1714053:+,72,23
NC_002516.2:1714064-1714660:+,40,23
NC_002516.2:1714778-1715059:-,83,10
NC_002516.2:1715154-1715705:-,6,4
NC_002516.2:1715809-1716675:+,73,32
NC_002516.2:1716682-1717023:-,8,2
NC_002516.2:1717139-1717894:+,12,7
NC_002516.2:1717998-1718252:+,4,1
NC_002516.2:1718386-1718994:+,409,88
NC_002516.2:1719109-1720395:-,1182,290
NC_002516.2:1720744-1721130:+,642,391
NC_002516.2:1721124-1721492:+,440,238
NC_002516.2:1721496-1723268:+,1124,648
NC_002516.2:1723280-1723987:+,1103,707
NC_002516.2:1724244-1727075:+,1675,798
NC_002516.2:1727118-1728347:+,845,284
NC_002516.2:1728416-1729852:+,1896,410
NC_002516.2:1730181-1731347:+,1925,491
NC_002516.2:1731347-1732234:+,892,234
NC_002516.2:1732545-1733858:+,51,54
NC_002516.2:1734004-1734768:+,10,9
NC_002516.2:1734827-1735063:-,565,200
NC_002516.2:1735236-1735709:+,19,8
NC_002516.2:1735706-1736152:+,13,1
NC_002516.2:1736189-1737418:+,27,12
NC_002516.2:1737536-1739440:+,378,79
NC_002516.2:1739508-1740233:+,61,23
NC_002516.2:1740244-1741065:-,9,2
NC_002516.2:1741146-1741928:+,6,2
NC_002516.2:1741939-1743240:-,2,5
NC_002516.2:1743290-1745536:-,15,9
NC_002516.2:1745533-1746024:-,3,0
NC_002516.2:1746231-1746653:-,3,5
NC_002516.2:1746692-1747597:-,11,9
NC_002516.2:1747596-1748630:+,9,11
NC_002516.2:1748699-1749175:+,3,0
NC_002516.2:1749349-1749789:-,11,17
NC_002516.2:1749895-1751520:-,44,28
NC_002516.2:1751674-1752891:-,198,583
NC_002516.2:1752903-1753418:-,266,274
NC_002516.2:1753607-1755562:-,51,73
NC_002516.2:1755559-1756317:-,21,10
NC_002516.2:1756489-1758597:-,37,33
NC_002516.2:1758748-1759770:+,46,17
NC_002516.2:1759784-1760125:+,30,5
NC_002516.2:1760122-1760586:+,24,8
NC_002516.2:1760713-1762380:+,21,18
NC_002516.2:1762433-1762870:+,61,8
NC_002516.2:1762928-1763752:+,21,3
NC_002516.2:1763793-1764434:+,1,2
NC_002516.2:1764536-1765348:+,14,10
NC_002516.2:1765345-1766205:+,15,4
NC_002516.2:1766285-1766947:+,37,11
NC_002516.2:1766956-1767762:+,22,27
NC_002516.2:1767928-1768995:+,19,21
NC_002516.2:1769047-1770321:-,6,2
NC_002516.2:1770337-1770984:-,1,0
NC_002516.2:1771122-1772651:-,14,5
NC_002516.2:1772655-1773440:-,11,7
NC_002516.2:1773682-1774548:+,22,3
NC_002516.2:1774603-1775757:+,14,7
NC_002516.2:1775849-1776034:+,0,1
NC_002516.2:1776045-1777739:+,9,4
NC_002516.2:1777751-1779823:+,9,8
NC_002516.2:1779877-1780428:+,0,2
NC_002516.2:1780536-1783193:+,16,8
NC_002516.2:1783294-1783986:+,10,2
NC_002516.2:1784108-1785016:+,14,4
NC_002516.2:1785127-1785732:+,21,11
NC_002516.2:1785736-1786773:-,26,10
NC_002516.2:1786888-1787166:+,18,5
NC_002516.2:1787250-1788284:+,40,10
NC_002516.2:1788284-1789393:+,29,12
NC_002516.2:1789372-1789719:-,6,7
NC_002516.2:1789857-1790465:+,14,0
NC_002516.2:1790472-1790879:-,13,1
NC_002516.2:1791080-1793038:+,7,4
NC_002516.2:1793019-1794740:-,12,28
NC_002516.2:1794883-1795887:-,11,7
NC_002516.2:1796138-1796899:+,2,2
NC_002516.2:1797058-1797951:+,8,2
NC_002516.2:1797958-1799154:-,36,48
NC_002516.2:1799385-1800020:+,11,7
NC_002516.2:1800071-1800547:-,1,4
NC_002516.2:1800629-1801795:+,37,6
NC_002516.2:1801851-1802453:+,27,9
NC_002516.2:1803626-1805182:+,11,22
NC_002516.2:1805218-1805724:+,7,11
NC_002516.2:1805753-1807228:+,51,10
NC_002516.2:1807241-1807648:+,3,4
NC_002516.2:1808193-1809773:+,10,6
NC_002516.2:1809737-1810744:+,6,3
NC_002516.2:1810751-1813384:+,20,7
NC_002516.2:1813395-1814906:+,4,3
NC_002516.2:1814995-1815135:+,0,0
NC_002516.2:1815153-1816346:+,6,7
NC_002516.2:1816352-1816858:+,3,5
NC_002516.2:1816855-1818186:+,4,3
NC_002516.2:1818189-1819058:+,5,4
NC_002516.2:1819074-1822601:+,23,18
NC_002516.2:1822601-1823329:+,3,3
NC_002516.2:1823326-1824315:+,4,8
NC_002516.2:1824343-1824723:-,4,15
NC_002516.2:1824969-1825430:+,8,53
NC_002516.2:1825495-1826040:-,86,34
NC_002516.2:1826118-1826675:-,13,4
NC_002516.2:1826732-1827052:-,26,4
NC_002516.2:1827225-1827821:-,60,21
NC_002516.2:1827992-1828906:+,70,15
NC_002516.2:1828931-1829710:-,18,22
NC_002516.2:1829788-1830771:-,6,6
NC_002516.2:1830879-1831970:+,132,24
NC_002516.2:1832014-1833165:+,21,14
NC_002516.2:1833162-1833779:+,60,14
NC_002516.2:1833776-1834321:+,45,32
NC_002516.2:1834393-1835142:+,31,7
NC_002516.2:1835325-1836218:-,12,12
NC_002516.2:1836367-1837227:+,59,11
NC_002516.2:1837388-1838257:+,78,50
NC_002516.2:1838260-1840362:+,190,65
NC_002516.2:1840468-1841517:-,2,2
NC_002516.2:1841514-1842302:-,3,0
NC_002516.2:1842299-1842565:-,3,0
NC_002516.2:1842568-1843221:-,2,5
NC_002516.2:1843218-1844147:-,1,1
NC_002516.2:1844144-1845253:-,2,1
NC_002516.2:1845241-1845717:-,0,0
NC_002516.2:1845714-1847036:-,2,1
NC_002516.2:1847227-1848093:+,3,3
NC_002516.2:1848074-1848352:+,1,1
NC_002516.2:1848339-1848710:+,2,1
NC_002516.2:1848707-1849072:+,1,0
NC_002516.2:1849077-1849406:+,1,0
NC_002516.2:1849403-1851523:+,6,10
NC_002516.2:1851520-1851954:+,2,3
NC_002516.2:1851982-1852278:+,2,1
NC_002516.2:1852288-1853172:+,3,1
NC_002516.2:1853181-1853684:+,0,0
NC_002516.2:1853665-1854837:+,14,7
NC_002516.2:1854849-1855736:+,6,1
NC_002516.2:1855862-1856299:+,10,6
NC_002516.2:1856308-1856553:+,3,1
NC_002516.2:1856562-1856975:+,6,5
NC_002516.2:1857273-1858109:+,0,3
NC_002516.2:1858207-1859037:+,21,10
NC_002516.2:1859071-1859493:+,4,3
NC_002516.2:1859493-1861295:+,5,6
NC_002516.2:1861297-1862595:+,5,3
NC_002516.2:1862558-1862761:+,2,0
NC_002516.2:1862764-1863021:+,2,0
NC_002516.2:1863024-1863371:+,3,1
NC_002516.2:1863368-1863799:+,1,1
NC_002516.2:1863799-1864137:+,2,1
NC_002516.2:1864134-1864880:+,2,0
NC_002516.2:1864889-1865515:+,2,1
NC_002516.2:1865494-1866138:+,3,1
NC_002516.2:1866241-1868535:-,29,14
NC_002516.2:1868706-1870763:-,30,37
NC_002516.2:1871116-1871457:+,41,38
NC_002516.2:1871555-1872202:+,20,17
NC_002516.2:1872602-1874014:+,13,17
NC_002516.2:1874017-1874970:+,6,11
NC_002516.2:1874967-1875767:+,9,10
NC_002516.2:1875849-1876580:+,12,9
NC_002516.2:1876588-1877409:-,9,1
NC_002516.2:1877522-1878409:+,3,8
NC_002516.2:1878980-1880185:+,28,4
NC_002516.2:1880199-1882343:+,42,12
NC_002516.2:1882595-1883509:-,10,1
NC_002516.2:1883661-1884632:+,7,4
NC_002516.2:1884655-1885653:+,5,1
NC_002516.2:1885662-1886033:-,75,8
NC_002516.2:1886278-1887000:+,23,9
NC_002516.2:1887058-1887297:-,0,2
NC_002516.2:1887325-1887543:-,0,0
NC_002516.2:1887698-1888186:-,9,12
NC_002516.2:1888407-1888913:+,12,23
NC_002516.2:1888985-1889173:-,0,0
NC_002516.2:1889323-1890012:-,39,5
NC_002516.2:1890196-1890681:+,205,58
NC_002516.2:1890739-1891815:-,264,64
NC_002516.2:1892133-1892510:+,8,10
NC_002516.2:1892510-1893457:+,118,49
NC_002516.2:1893620-1894117:+,36,22
NC_002516.2:1894249-1895223:+,122,74
NC_002516.2:1895280-1895627:-,6,6
NC_002516.2:1895692-1896495:-,43,47
NC_002516.2:1896630-1897247:+,107,14
NC_002516.2:1897290-1898651:-,15,15
NC_002516.2:1898816-1901521:+,65,45
NC_002516.2:1901524-1904247:+,83,64
NC_002516.2:1904479-1904916:+,45,8
NC_002516.2:1904995-1905756:+,11,20
NC_002516.2:1905797-1906822:+,5,4
NC_002516.2:1906842-1908440:+,8,5
NC_002516.2:1908454-1909641:+,10,3
NC_002516.2:1909698-1910681:-,159,139
NC_002516.2:1910685-1912211:-,229,99
NC_002516.2:1912217-1912756:-,34,31
NC_002516.2:1913047-1913871:-,44,13
NC_002516.2:1914037-1916412:+,1206,316
NC_002516.2:1916482-1917492:+,17,14
NC_002516.2:1917599-1918087:+,319,49
NC_002516.2:1918275-1919273:+,32,45
NC_002516.2:1919322-1919576:+,76,109
NC_002516.2:1919579-1920403:+,142,344
NC_002516.2:1920568-1921065:+,82,561
NC_002516.2:1921174-1922226:+,19805,5996
NC_002516.2:1922295-1923032:-,6,1
NC_002516.2:1923044-1925770:-,8,15
NC_002516.2:1925797-1926123:-,1,0
NC_002516.2:1926176-1928626:-,18,7
NC_002516.2:1928894-1930489:-,3,4
NC_002516.2:1930564-1931775:-,0,0
NC_002516.2:1932129-1932824:-,9,17
NC_002516.2:1933054-1933632:-,2,27
NC_002516.2:1933649-1934857:-,5,0
NC_002516.2:1935035-1937644:-,1285,274
NC_002516.2:1938026-1938493:+,9,3
NC_002516.2:1938549-1939412:-,59,147
NC_002516.2:1939583-1940206:+,36,8
NC_002516.2:1940255-1941586:-,55,12
NC_002516.2:1941720-1942442:-,69,32
NC_002516.2:1942447-1942944:-,607,174
NC_002516.2:1943067-1944737:+,427,100
NC_002516.2:1944747-1946129:+,287,89
NC_002516.2:1946187-1947041:-,105,43
NC_002516.2:1947994-1948215:+,10,10
NC_002516.2:1948502-1950334:-,12,5
NC_002516.2:1950439-1951725:-,21,11
NC_002516.2:1951726-1952433:-,26,21
NC_002516.2:1952665-1953975:+,952,331
NC_002516.2:1954069-1954710:+,524,179
NC_002516.2:1954815-1956095:+,1250,972
NC_002516.2:1956227-1958623:+,1174,620
NC_002516.2:1958759-1959031:+,9567,998
NC_002516.2:1959263-1961128:+,418,125
NC_002516.2:1961227-1962024:-,52,14
NC_002516.2:1962046-1963656:-,56,21
NC_002516.2:1963658-1964677:-,27,10
NC_002516.2:1964682-1965764:-,36,11
NC_002516.2:1965771-1967618:-,78,41
NC_002516.2:1967615-1969444:-,23,16
NC_002516.2:1969635-1971239:-,77,35
NC_002516.2:1971317-1972093:-,32,9
NC_002516.2:1972195-1972956:+,48,30
NC_002516.2:1972959-1973405:+,26,21
NC_002516.2:1973470-1974210:+,46,23
NC_002516.2:1974238-1974627:-,49,26
NC_002516.2:1974821-1977076:+,191,59
NC_002516.2:1977100-1978455:+,50,34
NC_002516.2:1978439-1979941:-,18,4
NC_002516.2:1980165-1980977:+,128,47
NC_002516.2:1981017-1982705:+,140,49
NC_002516.2:1982705-1983541:+,72,29
NC_002516.2:1983509-1984288:-,3,8
NC_002516.2:1984389-1985033:+,15,5
NC_002516.2:1985030-1985935:-,4,4
NC_002516.2:1986067-1986828:+,2,3
NC_002516.2:1986989-1987756:-,37,6
NC_002516.2:1987781-1988851:-,20,8
NC_002516.2:1989109-1989423:-,539,42
NC_002516.2:1989484-1990194:-,29,16
NC_002516.2:1990428-1991453:+,99,51
NC_002516.2:1991512-1992504:+,148,31
NC_002516.2:1992491-1993366:-,1,2
NC_002516.2:1993461-1993898:-,4,1
NC_002516.2:1994021-1994602:+,18,5
NC_002516.2:1994667-1995164:-,27,24
NC_002516.2:1995148-1996806:-,129,95
NC_002516.2:1997217-1997444:-,34,20
NC_002516.2:1997509-1998549:-,15,12
NC_002516.2:1998587-1998949:+,20,9
NC_002516.2:1998963-1999460:+,11,8
NC_002516.2:1999512-1999874:-,317,62
NC_002516.2:1999889-2003593:-,1349,408
NC_002516.2:2003868-2004332:-,34,3
NC_002516.2:2004374-2004892:-,42,5
NC_002516.2:2005254-2007542:+,54,36
NC_002516.2:2007665-2008249:+,146,54
NC_002516.2:2008308-2009477:-,4,3
NC_002516.2:2009482-2009724:-,0,0
NC_002516.2:2009747-2010751:-,6,7
NC_002516.2:2011000-2012205:+,9,9
NC_002516.2:2012255-2012530:-,122,156
NC_002516.2:2012815-2013678:+,14,11
NC_002516.2:2013666-2014823:-,2,0
NC_002516.2:2014915-2015136:-,0,0
NC_002516.2:2015139-2016581:-,9,2
NC_002516.2:2016928-2017851:-,35,19
NC_002516.2:2017967-2018794:-,4,2
NC_002516.2:2018803-2019690:-,5,2
NC_002516.2:2019776-2020603:+,12,11
NC_002516.2:2020625-2021710:-,26,20
NC_002516.2:2021712-2022398:-,36,26
NC_002516.2:2022411-2023166:-,198,41
NC_002516.2:2023281-2023931:-,20,9
NC_002516.2:2024065-2025744:+,22,13
NC_002516.2:2025737-2028013:+,10,7
NC_002516.2:2028103-2028312:+,10,3
NC_002516.2:2028454-2028981:+,0,2
NC_002516.2:2028968-2031298:+,6,7
NC_002516.2:2031466-2031705:+,6,9
NC_002516.2:2031988-2032413:+,7,0
NC_002516.2:2032695-2033951:+,13,5
NC_002516.2:2034066-2034857:-,18,9
NC_002516.2:2034918-2035940:-,4,8
NC_002516.2:2036441-2043847:+,20,13
NC_002516.2:2043847-2045124:+,9,2
NC_002516.2:2045114-2047285:+,7,9
NC_002516.2:2047275-2048462:+,2,17
NC_002516.2:2048570-2049148:-,5,3
NC_002516.2:2049237-2049791:-,9,2
NC_002516.2:2049949-2052144:-,306,91
NC_002516.2:2052149-2052610:-,39,9
NC_002516.2:2052941-2053264:+,4,11
NC_002516.2:2053277-2053675:+,0,1
NC_002516.2:2053672-2054223:-,3,2
NC_002516.2:2054309-2054842:+,3,2
NC_002516.2:2054911-2057274:+,28,16
NC_002516.2:2057278-2057946:-,5,2
NC_002516.2:2057930-2059339:-,3,4
NC_002516.2:2059569-2060552:+,41,29
NC_002516.2:2060566-2061189:-,45,8
NC_002516.2:2061278-2061667:-,5,4
NC_002516.2:2061664-2062401:-,37,12
NC_002516.2:2062398-2064827:-,47,47
NC_002516.2:2064853-2065545:-,169,58
NC_002516.2:2065493-2066767:-,149,54
NC_002516.2:2066786-2067955:-,48,25
NC_002516.2:2067961-2068728:-,139,26
NC_002516.2:2069490-2070203:+,4,3
NC_002516.2:2070685-2071173:+,1,0
NC_002516.2:2071209-2071697:+,4,2
NC_002516.2:2071721-2072938:+,0,0
NC_002516.2:2072935-2073558:+,0,0
NC_002516.2:2073555-2075438:+,0,0
NC_002516.2:2075452-2076288:+,0,0
NC_002516.2:2076311-2076958:+,0,0
NC_002516.2:2077047-2077583:-,24,2
NC_002516.2:2077626-2079266:-,8,6
NC_002516.2:2079263-2080474:-,3,4
NC_002516.2:2080661-2081812:-,2,1
NC_002516.2:2081853-2084267:-,2,7
NC_002516.2:2084476-2085426:-,6,2
NC_002516.2:2085423-2085929:-,3,1
NC_002516.2:2086021-2086701:-,11,5
NC_002516.2:2086808-2088034:-,8,4
NC_002516.2:2088602-2090149:-,21,21
NC_002516.2:2090213-2091445:-,0,2
NC_002516.2:2091490-2091837:-,1,1
NC_002516.2:2091850-2093250:-,3,2
NC_002516.2:2093444-2094142:-,2,5
NC_002516.2:2094329-2096356:-,1,10
NC_002516.2:2096514-2097323:-,81,11
NC_002516.2:2097491-2099452:+,240,72
NC_002516.2:2099452-2103297:+,193,92
NC_002516.2:2103294-2103770:+,64,37
NC_002516.2:2103770-2104096:+,59,41
NC_002516.2:2104597-2106447:+,52,71
NC_002516.2:2106580-2108880:+,9125,1041
NC_002516.2:2108942-2109511:-,0,1
NC_002516.2:2109558-2109854:-,7,2
NC_002516.2:2110226-2111521:+,14,18
NC_002516.2:2111691-2112203:+,9,8
NC_002516.2:2112200-2113189:+,4,2
NC_002516.2:2113186-2115390:+,2,4
NC_002516.2:2115885-2116265:+,9,7
NC_002516.2:2118585-2118893:+,1,0
NC_002516.2:2118926-2119747:+,0,2
NC_002516.2:2120225-2122222:-,373,92
NC_002516.2:2122579-2123718:-,27,5
NC_002516.2:2123897-2125792:-,38,10
NC_002516.2:2126104-2126334:-,76,5
NC_002516.2:2126396-2127493:-,10,10
NC_002516.2:2127684-2129171:+,38,21
NC_002516.2:2129307-2130635:+,9,3
NC_002516.2:2130854-2131813:+,20,14
NC_002516.2:2131835-2133367:+,15,10
NC_002516.2:2133391-2134389:+,18,8
NC_002516.2:2134393-2135406:+,35,14
NC_002516.2:2135460-2136386:+,10,15
NC_002516.2:2136520-2137785:-,10,10
NC_002516.2:2137846-2138598:-,2,0
NC_002516.2:2138612-2139292:-,1,0
NC_002516.2:2139354-2140376:-,7,3
NC_002516.2:2140433-2141002:-,0,5
NC_002516.2:2140999-2141487:-,1,3
NC_002516.2:2141790-2142317:-,7,9
NC_002516.2:2142314-2142889:-,7,7
NC_002516.2:2143173-2144006:+,52,14
NC_002516.2:2144077-2144799:+,6,2
NC_002516.2:2144810-2145745:-,8,2
NC_002516.2:2145894-2146502:+,2,6
NC_002516.2:2146609-2146875:+,62,32
NC_002516.2:2146961-2148526:-,66,90
NC_002516.2:2148854-2149189:+,22,7
NC_002516.2:2149472-2149843:+,3,1
NC_002516.2:2149864-2150364:-,34,6
NC_002516.2:2150524-2150781:+,3,6
NC_002516.2:2150828-2151220:+,15,8
NC_002516.2:2151287-2151526:-,6,3
NC_002516.2:2151755-2153068:-,40,17
NC_002516.2:2153594-2155297:+,2,6
NC_002516.2:2155374-2157701:+,34,11
NC_002516.2:2157968-2159167:+,7,5
NC_002516.2:2159270-2160433:+,83,18
NC_002516.2:2160363-2163008:+,170,36
NC_002516.2:2163010-2163873:-,13,6
NC_002516.2:2163883-2164548:-,75,14
NC_002516.2:2165213-2165863:+,49,10
NC_002516.2:2165876-2166553:+,38,13
NC_002516.2:2166580-2167227:-,14,1
NC_002516.2:2167281-2169152:-,631,79
NC_002516.2:2169464-2169901:+,82,19
NC_002516.2:2169988-2171508:+,84,19
NC_002516.2:2171865-2171936:+,300,45
NC_002516.2:2171989-2172903:+,145,40
NC_002516.2:2172913-2173665:+,176,44
NC_002516.2:2173662-2173940:+,32,13
NC_002516.2:2173912-2175057:+,65,41
NC_002516.2:2175062-2176888:+,73,41
NC_002516.2:2176974-2178137:+,14,14
NC_002516.2:2178121-2179815:+,28,10
NC_002516.2:2179848-2181056:-,3,11
NC_002516.2:2181181-2181744:-,13,10
NC_002516.2:2181741-2182097:-,6,3
NC_002516.2:2182116-2182394:-,7,2
NC_002516.2:2182452-2184407:-,26,16
NC_002516.2:2184475-2185395:-,6,9
NC_002516.2:2185527-2186225:+,6,2
NC_002516.2:2186260-2186916:+,2,0
NC_002516.2:2187065-2188246:+,32,11
NC_002516.2:2188459-2189883:+,8,13
NC_002516.2:2190084-2190854:-,10,1
NC_002516.2:2190891-2192282:-,2,2
NC_002516.2:2192544-2193989:-,13,17
NC_002516.2:2194058-2195410:-,5,2
NC_002516.2:2195494-2196132:-,8,4
NC_002516.2:2196129-2197427:-,19,9
NC_002516.2:2197432-2198730:-,29,31
NC_002516.2:2198891-2199694:+,9,9
NC_002516.2:2199762-2200664:-,18,13
NC_002516.2:2200685-2202652:-,28,13
NC_002516.2:2202649-2203446:-,9,4
NC_002516.2:2203460-2205067:-,24,4
NC_002516.2:2205190-2206353:-,28,5
NC_002516.2:2206402-2206806:-,1,2
NC_002516.2:2206999-2207928:+,37,21
NC_002516.2:2208169-2211306:-,43,36
NC_002516.2:2211322-2212512:-,33,35
NC_002516.2:2212677-2213309:+,26,12
NC_002516.2:2213315-2213539:-,6,6
NC_002516.2:2213693-2215054:+,9,31
NC_002516.2:2215102-2215941:+,141,100
NC_002516.2:2216121-2216543:-,10,6
NC_002516.2:2216688-2218043:+,481,40
NC_002516.2:2218098-2219099:-,1,1
NC_002516.2:2219253-2219645:-,1,2
NC_002516.2:2219778-2220251:+,6,2
NC_002516.2:2220275-2220574:+,11,2
NC_002516.2:2220649-2220906:-,14,2
NC_002516.2:2220903-2221157:-,18,5
NC_002516.2:2221337-2222761:+,37,8
NC_002516.2:2222896-2223804:+,4,4
NC_002516.2:2223804-2224478:+,2,0
NC_002516.2:2224486-2226144:-,7,5
NC_002516.2:2226879-2227400:+,11,6
NC_002516.2:2227541-2229001:+,52,18
NC_002516.2:2229126-2229440:-,7,2
NC_002516.2:2229425-2230183:-,5,6
NC_002516.2:2230689-2232065:+,13,7
NC_002516.2:2232222-2233592:+,2,7
NC_002516.2:2234080-2235309:+,71,31
NC_002516.2:2235430-2236332:+,14,10
NC_002516.2:2236492-2238366:-,44,14
NC_002516.2:2238541-2238801:-,5,2
NC_002516.2:2240302-2241291:-,14,9
NC_002516.2:2241816-2242112:+,9,6
NC_002516.2:2242170-2244164:-,45,30
NC_002516.2:2244492-2244998:+,2,1
NC_002516.2:2244995-2245948:+,2,1
NC_002516.2:2245986-2246456:-,11,3
NC_002516.2:2246496-2247158:-,3,3
NC_002516.2:2247273-2248160:+,4,5
NC_002516.2:2248167-2249582:-,4,1
NC_002516.2:2249693-2250595:+,22,5
NC_002516.2:2251275-2253815:+,5,9
NC_002516.2:2253819-2255627:+,2,4
NC_002516.2:2255629-2256702:+,1,1
NC_002516.2:2256704-2257720:+,4,2
NC_002516.2:2257722-2259332:+,3,5
NC_002516.2:2259478-2260659:+,26,17
NC_002516.2:2260862-2262085:+,22,10
NC_002516.2:2262105-2263082:-,0,0
NC_002516.2:2263079-2264977:-,8,9
NC_002516.2:2265126-2265764:-,3,1
NC_002516.2:2265761-2266429:-,5,3
NC_002516.2:2266431-2267594:-,1,2
NC_002516.2:2267638-2269362:-,3,3
NC_002516.2:2269542-2272184:-,2,3
NC_002516.2:2272460-2274568:+,105,47
NC_002516.2:2274740-2277334:+,11,13
NC_002516.2:2277552-2278982:+,1,4
